Twitter Handle,Name,Category,Company/Project,Expertise,DM Status,Response,Follow-up Date,Notes,Priority
@cdixon,Chris Dixon,VC,a16z,Infrastructure,Not Sent,,,A16Z Web3 thesis lead,1
@naval,Naval Ravikant,Angel,AngelList,Tech Philosophy,Not Sent,,,Early crypto adopter,1
@balajis,Balaji Srinivasan,Advisor,Network State,Future Tech,Not Sent,,,Network State author,1
@VitalikButerin,Vitalik Buterin,Founder,Ethereum,Core Tech,Not Sent,,,ETH founder,1
@punk6529,6529,Investor,6529 Capital,NFTs/Culture,Not Sent,,,NFT thought leader,1
@josephdelong,Joseph Delong,Builder,Sushi/Astaria,DeFi,Not Sent,,,DEX experience,2
@samkazemian,Sam Kazemian,Founder,Frax,Stablecoins,Not Sent,,,Stable expert,1
@ricburton,Ric Burton,Builder,ENS/Mirror,Identity,Not Sent,,,Web3 social,2
@0xstark,Stark,Builder,dYdX,DEX,Not Sent,,,DEX builder,2
@Rewkang,Remi Tetot,Research,Delphi,Markets,Not Sent,,,Deep analysis,1
@lawmaster,Igor Igamberdiev,Analyst,TheBlock,Data,Not Sent,,,Chain analysis,2
@nansen_ai,Nansen,Analytics,Nansen,On-chain,Not Sent,,,Data platform,2
@cooopahtroopa,Cooper Turley,Community,Developer DAO,Building,Not Sent,,,Builder community,1
@DCFGod,DCF GOD,Trader,Independent,Markets,Not Sent,,,Market analyst,2
@DegenSpartan,DegenSpartan,Builder,Various,DeFi,Not Sent,,,DeFi architect,1
@0xMaki,Maki,Builder,Sushi,DEX,Not Sent,,,Protocol design,2
@CroissantEth,Croissant,Research,Independent,Protocol,Not Sent,,,Deep research,2
@sassal0x,Anthony Sassano,Content,Daily Gwei,ETH,Not Sent,,,ETH updates,2
@cburniske,Chris Burniske,VC,Placeholder,Tokenomics,Not Sent,,,Token design,1
@APompliano,Anthony Pompliano,VC,Pomp Invest,Macro,Not Sent,,,Market views,1